ge_upstream_id,state_name,party,candidates,seats_won,votes
GE-1952-L1,Madras,RRP,2,0,15403
GE-1952-L1,Manipur,INC,2,1,36317
GE-1952-L1,Manipur,SP,2,1,29372
GE-1952-L1,Manipur,AMN,2,0,22083
GE-1952-L1,Manipur,PP,2,0,16955
GE-1952-L1,Manipur,IND,2,0,13737
GE-1952-L1,Manipur,CPI,1,0,13184
GE-1952-L1,Manipur,KNA,1,0,12155
GE-1952-L1,Manipur,GSS,1,0,7196
GE-1952-L1,Manipur,HR,1,0,1468
GE-1952-L1,Mysore,INC,11,10,1509075
GE-1952-L1,Mysore,KMPP,9,1,650658
GE-1952-L1,Mysore,IND,8,0,292472
GE-1952-L1,Mysore,SP,4,0,181430
GE-1952-L1,Mysore,BJS,4,0,117470
GE-1952-L1,Mysore,CPI,1,0,73322
GE-1952-L1,Odisha,INC,18,11,1555787
GE-1952-L1,Odisha,GP,12,6,959749
GE-1952-L1,Odisha,SP,10,1,563462
GE-1952-L1,Odisha,IND,12,1,316538
GE-1952-L1,Odisha,CPI,4,1,211303
GE-1952-L1,Odisha,KMPP,2,0,52654
GE-1952-L1,Patiala_&_East_Punjab_States_Union_(PEPSU),INC,5,2,492408
GE-1952-L1,Patiala_&_East_Punjab_States_Union_(PEPSU),SAD,3,2,477638
GE-1952-L1,Patiala_&_East_Punjab_States_Union_(PEPSU),IND,16,1,311635
GE-1952-L1,Patiala_&_East_Punjab_States_Union_(PEPSU),BJS,2,0,43349
GE-1952-L1,Patiala_&_East_Punjab_States_Union_(PEPSU),RCPI,1,0,41030
GE-1952-L1,Patiala_&_East_Punjab_States_Union_(PEPSU),KMPP,2,0,39749
GE-1952-L1,Patiala_&_East_Punjab_States_Union_(PEPSU),SP,1,0,38222
GE-1952-L1,Patiala_&_East_Punjab_States_Union_(PEPSU),FBL(MG),1,0,31081
GE-1952-L1,Punjab,INC,18,16,2134586
GE-1952-L1,Punjab,SAD,8,2,569973
GE-1952-L1,Punjab,IND,45,0,930383
GE-1952-L1,Punjab,ZP,5,0,291300
GE-1952-L1,Punjab,BJS,9,0,279639
GE-1952-L1,Punjab,CPI,4,0,251623
GE-1952-L1,Punjab,SCF,2,0,239064
GE-1952-L1,Punjab,RRP,3,0,124306
GE-1952-L1,Punjab,SP,4,0,107713
GE-1952-L1,Punjab,FBL(MG),2,0,51962
GE-1952-L1,Punjab,DCL,1,0,11789
GE-1952-L1,Rajasthan,INC,20,9,1460971
GE-1952-L1,Rajasthan,IND,25,6,1028388
GE-1952-L1,Rajasthan,RRP,7,3,331760
GE-1952-L1,Rajasthan,KLP,7,1,356630
GE-1952-L1,Rajasthan,BJS,4,1,107089
GE-1952-L1,Rajasthan,SP,6,0,119287
GE-1952-L1,Rajasthan,SCF,1,0,44171
GE-1952-L1,Rajasthan,HMS,1,0,35338
GE-1952-L1,Rajasthan,KMPP,1,0,31443
GE-1952-L1,Rajasthan,KJSP,1,0,6390
GE-1952-L1,Rajasthan,CPI,1,0,5490
GE-1952-L1,Saurashtra,INC,6,6,506112
GE-1952-L1,Saurashtra,HMS,4,0,99311
GE-1952-L1,Saurashtra,IND,3,0,58343
GE-1952-L1,Saurashtra,SP,2,0,36980
GE-1952-L1,Saurashtra,KMPP,4,0,32193
GE-1952-L1,Saurashtra,SKS,1,0,29766
GE-1952-L1,Travancore_Cochin,INC,11,6,1224533
GE-1952-L1,Travancore_Cochin,IND,20,4,1265051
GE-1952-L1,Travancore_Cochin,RSP,1,1,220312
GE-1952-L1,Travancore_Cochin,TTC,1,1,115893
GE-1952-L1,Travancore_Cochin,SP,9,0,459669
GE-1952-L1,Travancore_Cochin,KSP,1,0,102098
GE-1952-L1,Travancore_Cochin,RPP,2,0,57815
GE-1952-L1,Travancore_Cochin,TP,1,0,36158
GE-1952-L1,Travancore_Cochin,CP,1,0,8947
GE-1952-L1,Tripura,CPI,2,2,96458
GE-1952-L1,Tripura,INC,2,0,40263
GE-1952-L1,Tripura,IND,1,0,10987
GE-1952-L1,Tripura,BJS,2,0,9663
GE-1952-L1,Uttar_Pradesh,INC,86,81,9047392
GE-1952-L1,Uttar_Pradesh,SP,61,2,2208678
GE-1952-L1,Uttar_Pradesh,IND,83,2,1936383
GE-1952-L1,Uttar_Pradesh,HMS,12,1,325601
GE-1952-L1,Uttar_Pradesh,BJS,41,0,1244099
GE-1952-L1,Uttar_Pradesh,KMPP,37,0,836129
GE-1952-L1,Uttar_Pradesh,RRP,21,0,606030
GE-1952-L1,Uttar_Pradesh,SCF,9,0,511852
GE-1952-L1,Uttar_Pradesh,UPPP,6,0,213656
GE-1952-L1,Uttar_Pradesh,RSP,4,0,64791
GE-1952-L1,Uttar_Pradesh,CPI,2,0,59699
GE-1952-L1,Uttar_Pradesh,RSP(UP),2,0,20665
GE-1952-L1,Vindhya_Pradesh,INC,4,4,238220
GE-1952-L1,Vindhya_Pradesh,SP,4,1,125480
GE-1952-L1,Vindhya_Pradesh,KMPP,5,1,106071
GE-1952-L1,Vindhya_Pradesh,IND,4,0,94911
GE-1952-L1,Vindhya_Pradesh,BJS,4,0,89701
GE-1952-L1,Vindhya_Pradesh,RRP,2,0,26596
GE-1952-L1,Vindhya_Pradesh,SCF,1,0,24859
GE-1952-L1,West_Bengal,INC,34,24,3205162
GE-1952-L1,West_Bengal,CPI,9,5,720304
GE-1952-L1,West_Bengal,BJS,6,2,452279
GE-1952-L1,West_Bengal,RSP,4,2,183005
GE-1952-L1,West_Bengal,HMS,6,1,324870
GE-1952-L1,West_Bengal,IND,60,0,1405747
GE-1952-L1,West_Bengal,KMPP,10,0,679149
GE-1952-L1,West_Bengal,FBL(MG),6,0,344233
GE-1952-L1,West_Bengal,SP,7,0,152299
GE-1952-L1,West_Bengal,FBL(RG),2,0,81738
GE-1952-L1,West_Bengal,RCPI,1,0,26245
GE-1952-L1,West_Bengal,BPI,1,0,25792
GE-1952-L1,West_Bengal,RRP,2,0,13110
GE-1957-L2,Andhra_Pradesh,INC,43,37,4906044
GE-1957-L2,Andhra_Pradesh,IND,43,2,1835800
GE-1957-L2,Andhra_Pradesh,CPI,11,2,1144811
GE-1957-L2,Andhra_Pradesh,PDF,8,2,1044032
GE-1957-L2,Andhra_Pradesh,PSP,6,0,345418
GE-1957-L2,Andhra_Pradesh,PP,3,0,140742
GE-1957-L2,Andhra_Pradesh,SCF,1,0,110757
GE-1957-L2,Andhra_Pradesh,BJS,1,0,3769
GE-1957-L2,Assam,INC,12,9,1184708
GE-1957-L2,Assam,PSP,7,2,457643
GE-1957-L2,Assam,IND,9,1,415217
GE-1957-L2,Assam,CPI,3,0,235044
GE-1957-L2,Bihar,INC,51,41,4450208
GE-1957-L2,Bihar,JHP,12,6,751830
GE-1957-L2,Bihar,CNSPJP,13,3,501359
GE-1957-L2,Bihar,PSP,41,2,2165462
GE-1957-L2,Bihar,IND,63,1,1584894
GE-1957-L2,Bihar,CPI,13,0,502707
GE-1957-L2,Bihar,BJS,2,0,51416
GE-1957-L2,Bombay,INC,66,38,8156272
GE-1957-L2,Bombay,IND,45,8,3109733
GE-1957-L2,Bombay,PSP,17,5,1457203
GE-1957-L2,Bombay,SCF,9,5,1354475
GE-1957-L2,Bombay,CPI,6,4,1055013
GE-1957-L2,Bombay,PWP,7,4,924832
GE-1957-L2,Bombay,BJS,8,2,566008
GE-1957-L2,Bombay,HMS,5,0,97078
GE-1957-L2,Bombay,RRP,3,0,39671
GE-1957-L2,Delhi,INC,5,5,440775
GE-1957-L2,Delhi,BJS,5,0,159907
GE-1957-L2,Delhi,IND,17,0,104684
GE-1957-L2,Delhi,SCF,1,0,39086
GE-1957-L2,Delhi,CPI,1,0,38236
GE-1957-L2,Delhi,PSP,1,0,28656
GE-1957-L2,Himachal_Pradesh,INC,4,4,171591
GE-1957-L2,Himachal_Pradesh,IND,9,0,107221
GE-1957-L2,Himachal_Pradesh,PSP,1,0,42838
GE-1957-L2,Himachal_Pradesh,SCF,1,0,31079
GE-1957-L2,Himachal_Pradesh,CPI,2,0,9912
GE-1957-L2,Himachal_Pradesh,BJS,1,0,0
GE-1957-L2,Kerala,CPI,15,9,2267888
GE-1957-L2,Kerala,INC,17,6,2102883
GE-1957-L2,Kerala,IND,16,2,932274
GE-1957-L2,Kerala,PSP,9,1,438459
GE-1957-L2,Kerala,RSP,3,0,308742
GE-1957-L2,Madhya_Pradesh,INC,36,35,3967199
GE-1957-L2,Madhya_Pradesh,HMS,7,1,373503
GE-1957-L2,Madhya_Pradesh,PSP,22,0,1225735
GE-1957-L2,Madhya_Pradesh,BJS,21,0,1062936
GE-1957-L2,Madhya_Pradesh,IND,28,0,608408
GE-1957-L2,Madhya_Pradesh,RRP,7,0,249083
GE-1957-L2,Madhya_Pradesh,SCF,3,0,95934
GE-1957-L2,Madhya_Pradesh,CPI,1,0,31424
GE-1957-L2,Madras,INC,41,31,5094552
GE-1957-L2,Madras,IND,93,8,4355162
GE-1957-L2,Madras,CPI,13,2,1101338
GE-1957-L2,Madras,PSP,7,0,399789
GE-1957-L2,Manipur,IND,6,1,93414
GE-1957-L2,Manipur,INC,2,1,48687
GE-1957-L2,Manipur,CPI,1,0,19298
GE-1957-L2,Manipur,PSP,2,0,12692
GE-1957-L2,Mysore,INC,26,23,3219014
GE-1957-L2,Mysore,IND,19,1,1152535
GE-1957-L2,Mysore,PSP,12,1,1082698
GE-1957-L2,Mysore,SCF,1,1,115214
GE-1957-L2,Mysore,BJS,5,0,143606
GE-1957-L2,Mysore,CPI,1,0,85373
GE-1957-L2,Odisha,INC,20,7,1776767
GE-1957-L2,Odisha,GP,15,7,1291141
GE-1957-L2,Odisha,IND,11,3,473656
GE-1957-L2,Odisha,PSP,6,2,684023
GE-1957-L2,Odisha,CPI,5,1,214903
GE-1957-L2,Punjab,INC,22,21,3682219
GE-1957-L2,Punjab,CPI,11,1,1207600
GE-1957-L2,Punjab,BJS,16,0,1152672
GE-1957-L2,Punjab,IND,27,0,807709
GE-1957-L2,Punjab,SCF,6,0,292345
GE-1957-L2,Punjab,PSP,3,0,41285
GE-1957-L2,Rajasthan,INC,22,19,2494094
GE-1957-L2,Rajasthan,IND,40,3,1280356
GE-1957-L2,Rajasthan,BJS,8,0,518355
GE-1957-L2,Rajasthan,CPI,4,0,223416
GE-1957-L2,Rajasthan,RRP,3,0,73946
GE-1957-L2,Rajasthan,PSP,2,0,58916
GE-1957-L2,Tripura,INC,2,1,253241
GE-1957-L2,Tripura,CPI,2,1,248422
GE-1957-L2,Tripura,IND,3,0,48675
GE-1957-L2,Uttar_Pradesh,INC,86,70,10599639
GE-1957-L2,Uttar_Pradesh,IND,84,9,4918413
GE-1957-L2,Uttar_Pradesh,PSP,52,4,3511157
GE-1957-L2,Uttar_Pradesh,BJS,61,2,3385247
GE-1957-L2,Uttar_Pradesh,CPI,8,1,383509
GE-1957-L2,Uttar_Pradesh,RRP,4,0,98138
GE-1957-L2,West_Bengal,INC,35,23,5031696
GE-1957-L2,West_Bengal,CPI,14,6,1985181
GE-1957-L2,West_Bengal,IND,29,3,1456098
GE-1957-L2,West_Bengal,FBM,5,2,665341
GE-1957-L2,West_Bengal,PSP,6,2,590692
GE-1957-L2,West_Bengal,HMS,7,0,561741
GE-1957-L2,West_Bengal,BJS,5,0,149351
